record_num,date,month,day,year,barangay,location,latitude,longitude,flood_depth,weather_disturbance,remarks,time_reported,time_subsided
244,2025-01-08,1.0,8.0,2025,,244 Storm Crising 23 July2025 1,14.48112178,,knee,,,,
250,2025-01-08,1.0,8.0,2025,,250 Storm Crising 23 July2025 1,14.48112178,,gutter,,,,
352,2025-01-08,1.0,8.0,2025,,352 Nando 025 1,14.48112178,,gutter,,,,
362,2025-01-08,1.0,8.0,2025,,362 Opong 025 1,14.48112178,,gutter,,,,
291,2025-03-25,3.0,25.0,2025,,291 1550H Green ° 2025,14.49393854208995,,knee,,,,
292,2025-03-25,3.0,25.0,2025,,292 1550H Green ° 2025,14.470934893848796,,knee,,,,
293,2025-03-25,3.0,25.0,2025,,293 1550H Green ° 2025,14.470602225057428,,gutter,,,,
1,2025-05-06,5.0,6.0,2025,,) Level 8 Easterlies 1,14.461084936317045,,gutter,Easterlies,,,
2,2025-05-06,5.0,6.0,2025,,Antonio Ave. Level 8 Easterlies 1,14.464863417205555,,gutter,Easterlies,,,
3,2025-05-06,5.0,6.0,2025,,nd) Level 8 Easterlies 1,14.457606753585543,,gutter,Easterlies,,,
4,2025-05-06,5.0,6.0,2025,,Antonio Level 8 Easterlies 1,14.462469187579913,,knee,Easterlies,,,
5,2025-05-12,5.0,12.0,2025,,) Level 19 Easterlies 1,14.478585115329807,,chest,Easterlies,,,
6,2025-05-12,5.0,12.0,2025,,Level 45 Easterlies 1,14.499879060866066,,gutter,Easterlies,,,
7,2025-05-12,5.0,12.0,2025,,Bosco Soledad Level 8 Easterlies 1,14.486468830290727,,gutter,Easterlies,,,
8,2025-05-12,5.0,12.0,2025,,) Level 8 Easterlies 1,14.478580473257095,,knee,Easterlies,,,
9,2025-05-12,5.0,12.0,2025,,Mendoza Level 19 Easterlies 1,14.50957751280398,,gutter,Easterlies,,,
10,2025-05-12,5.0,12.0,2025,,) Level 8 Easterlies 1,14.461084936317045,,knee,Easterlies,,,
11,2025-05-12,5.0,12.0,2025,,Cmpd. Rd. Level 19 Easterlies 1,14.465833460136432,,knee,Easterlies,,,
12,2025-05-12,5.0,12.0,2025,,) Level 19 Easterlies 1,14.490847549002241,,gutter,Easterlies,,,
