record_num,date,month,day,year,barangay,location,latitude,longitude,flood_depth,weather_disturbance,remarks,time_reported,time_subsided
1,2022-03-14,3.0,14.0,2022,DIONISIO,INTERSECTION BOUNDARY OF CRUZ,14.47513822,121.0011419,knee,Localized Thunderstorms,TYPE OF VEHICLE KNEE,,
2,2022-03-14,3.0,14.0,2022,SAN ISIDRO,COMPOUND AND PUROK 5 SAN LUCAS ST.,14.47041838,121.0106894,gutter,Localized Thunderstorms,PASSABLE TO ANY TYPE OF VEHICLE PASSABLE TO ANY,,
3,2022-03-14,3.0,14.0,2022,SAN ISIDRO,VALLEY 6 BANANA,14.46696852,121.0027307,knee,Localized Thunderstorms,TYPE OF VEHICLE NOT PASSABLE TO,,
4,2022-03-14,3.0,14.0,2022,VITALEZ,COMPOUND SAN ANTONIO,14.50945879,121.0041835,gutter,Localized Thunderstorms,LIGHT VEHICLE GUTTER,,
5,2022-03-14,3.0,14.0,2022,ANTONIO,AVE. INTERSECTION DASA FOURTH,14.46485244,121.0198098,gutter,Localized Thunderstorms,LEVEL SUBSIDED PASSABLE TO ANY,,
6,2022-03-14,3.0,14.0,2022,ANTONIO,ESTATE BANNAER ST.,14.46104908,121.0274713,gutter,Localized Thunderstorms,TYPE OF VEHICLE GUTTER,,
7,2022-03-14,3.0,14.0,2022,ANTONIO,FOURTH ESTATE LOWER,14.46202658,121.03229,knee,Localized Thunderstorms,PASSABLE TO ANY LEVEL TYPE OF VEHICLE NOT PASSABLE TO,,
8,2022-03-14,3.0,14.0,2022,ANTONIO,BARANGAY SAN PEDRO,14.46949357,121.0240365,gutter,Localized Thunderstorms,LIGHT VEHICLE PASSABLE TO ANY,,
9,2022-03-14,3.0,14.0,2022,SAN ISIDRO,STREET,14.46947702,121.0069346,waist,Localized Thunderstorms,TYPE OF VEHICLE NOT PASSABLE TO,,
10,2022-05-15,5.0,15.0,2022,STO NIÑO,LIBJO AREA ILANG ILANG,14.49993154,121.0092085,gutter,Localized Thunderstorms,LIGHT VEHICLE PASSABLE TO ANY,,
11,2022-05-15,5.0,15.0,2022,GREEN,UPS 4 CHAMPACA,14.46070373,121.0385847,gutter,Localized Thunderstorms,TYPE OF VEHICLE GUTTER,,
12,2022-05-15,5.0,15.0,2022,GREEN,EXTENSION UPS 4,14.46299503,121.0375216,gutter,Localized Thunderstorms,PASSABLE TO ANY LEVEL TYPE OF VEHICLE PASSABLE TO ANY,,
13,2022-05-15,5.0,15.0,2022,SUN VALLEY,ANNEX 41,14.48930241,121.0310212,gutter,Localized Thunderstorms,TYPE OF VEHICLE PASSABLE TO ANY,,
14,2022-05-15,5.0,15.0,2022,MOONWALK,DAANG BATANG SCARLET,14.49255767,121.0112135,14.49255767 level half,Localized Thunderstorms,TYPE OF VEHICLE HALF,,
15,2022-05-15,5.0,15.0,2022,MOONWALK,STREET SAINT PAUL,14.49583651,121.0134215,knee,Localized Thunderstorms,PASSABLE TO ANY TYPE OF VEHICLE HALF,,
16,2022-05-15,5.0,15.0,2022,MOONWALK,ILOG,14.49482893,121.015504,knee,Localized Thunderstorms,PASSABLE TO ANY TYPE OF VEHICLE PASSABLE TO ANY,,
17,2022-05-15,5.0,15.0,2022,MOONWALK,KENKO AREA 1,14.50267121,121.0125305,gutter,Localized Thunderstorms,TYPE OF VEHICLE PASSABLE TO ANY,,
18,2022-06-08,6.0,8.0,2022,GREEN,CREEKVILLE,14.47069805,121.040021,gutter,Localized Thunderstorms,TYPE OF VEHICLE PASSABLE TO ANY,,
19,2022-06-08,6.0,8.0,2022,GREEN,HAPPY HOMES,14.46858824,121.0435637,gutter,Localized Thunderstorms,TYPE OF VEHICLE PASSABLE TO ANY,,
20,2022-06-08,6.0,8.0,2022,GREEN,ARMELA,14.46865703,121.0435851,gutter,Localized Thunderstorms,TYPE OF VEHICLE PASSABLE TO ANY,,
21,2022-06-08,6.0,8.0,2022,GREEN,SAVY 25,14.46908499,121.04024,gutter,Localized Thunderstorms,TYPE OF VEHICLE PASSABLE TO ANY,,
22,2022-06-08,6.0,8.0,2022,GREEN,SEVERINA 18 EVERLASTING,14.46597878,121.0449598,gutter,Localized Thunderstorms,TYPE OF VEHICLE PASSABLE TO ANY,,
23,2022-06-08,6.0,8.0,2022,GREEN,COMPOUND ILANG ILANG,14.47935455,121.0430553,gutter,Localized Thunderstorms,TYPE OF VEHICLE PASSABLE TO ANY,,
24,2022-06-08,6.0,8.0,2022,GREEN,UPS 4,14.46072373,121.0382676,gutter,Localized Thunderstorms,TYPE OF VEHICLE PASSABLE TO ANY,,
25,2022-06-08,6.0,8.0,2022,STO NIÑO,SITIO LIBJO,14.49988816,121.0097893,gutter,Localized Thunderstorms,TYPE OF VEHICLE PASSABLE TO ANY,,
26,2022-06-08,6.0,8.0,2022,STO NIÑO,HALIK ALON ST. BARCELONA,14.49840891,121.0058436,gutter,Localized Thunderstorms,TYPE OF VEHICLE PASSABLE TO ANY,,
27,2022-06-08,6.0,8.0,2022,MERVILLE,DULO,14.49691623,121.0189976,gutter,Localized Thunderstorms,TYPE OF VEHICLE PASSABLE TO ANY,,
28,2022-06-08,6.0,8.0,2022,SUN VALLEY,STA. ANA 2 EVACOM,14.49176819,121.0310122,gutter,Localized Thunderstorms,TYPE OF VEHICLE PASSABLE TO ANY,,
29,2022-09-10,9.0,10.0,2022,DIONISIO,INTERSECTION DIAMOND ST,14.47513822,121.0011419,knee,Localized Thunderstorms,TYPE OF VEHICLE KNEE,,
30,2022-09-10,9.0,10.0,2022,DIONISIO,BERNABE PHASE 3 OLIVAREZ,14.47284996,120.9980518,knee,Localized Thunderstorms,NOT PASSABLE TO LEVEL LIGHT VEHICLE KNEE,,
31,2022-09-10,9.0,10.0,2022,DIONISIO,COMPOUND GREENHILLS,14.48064823,120.9966998,gutter,Localized Thunderstorms,NOT PASSABLE TO LEVEL LIGHT VEHICLE PASSABLE TO ANY,,
32,2022-09-10,9.0,10.0,2022,DIONISIO,PNHS CAMELLA,14.47868124,120.9983019,gutter,Localized Thunderstorms,TYPE OF VEHICLE PASSABLE TO ANY,,
33,2022-09-10,9.0,10.0,2022,SAN ISIDRO,HOMES VALLEY 2 SAN,14.45796236,121.0102374,knee,Localized Thunderstorms,TYPE OF VEHICLE PASSABLE TO ANY,,
34,2022-09-10,9.0,10.0,2022,SAN ISIDRO,FELIPE SILVERIO,14.46935974,121.0075128,knee,Localized Thunderstorms,TYPE OF VEHICLE KNEE,,
35,2022-09-10,9.0,10.0,2022,SAN ISIDRO,COMPOUND PUROK 5,14.4724303,121.0125807,gutter,Localized Thunderstorms,NOT PASSABLE TO LEVEL LIGHT VEHICLE PASSABLE TO ANY,,
36,2022-09-10,9.0,10.0,2022,SAN ISIDRO,VALLEY 15 GREENHEIGHTS,14.4699983,121.0048132,knee,Localized Thunderstorms,TYPE OF VEHICLE KNEE,,
37,2022-09-10,9.0,10.0,2022,SAN ISIDRO,ENTRANCE LOPEZ AVE,14.46784745,121.0142414,gutter,Localized Thunderstorms,SUBSIDED PASSABLE TO ANY,,
38,2022-09-10,9.0,10.0,2022,SAN ISIDRO,BRIDGE SANTOS,14.4685983,121.0119256,waist,Localized Thunderstorms,TYPE OF VEHICLE PASSABLE TO ANY,,
39,2022-09-10,9.0,10.0,2022,DON BOSCO,COMPOUND EUTHOPIA,14.48505478,121.0303088,gutter,Localized Thunderstorms,TYPE OF VEHICLE PASSABLE TO ANY,,
40,2022-09-10,9.0,10.0,2022,DON BOSCO,STREET INDIA STREET,14.48316933,121.0343883,gutter,Localized Thunderstorms,TYPE OF VEHICLE PASSABLE TO ANY,,
41,2022-09-10,9.0,10.0,2022,DON BOSCO,ANNEX 35 FRANCE ST,,,waist,Localized Thunderstorms,TYPE OF VEHICLE PASSABLE TO ANY,,
42,2022-09-10,9.0,10.0,2022,DON BOSCO,ANNEX 35 F. SERRANO,,,knee,Localized Thunderstorms,TYPE OF VEHICLE KNEE,,
43,2022-09-10,9.0,10.0,2022,DON BOSCO,ELEM SCHOOL CREEK SIDE,14.48867823,121.0260738,knee,Localized Thunderstorms,PASSABLE TO ANY LEVEL TYPE OF VEHICLE PASSABLE TO ANY,,
44,2022-09-10,9.0,10.0,2022,MERVILLE,SITIO TUYUAN,14.49556193,121.0253435,knee,Localized Thunderstorms,TYPE OF VEHICLE PASSABLE TO ANY,,
45,2022-09-10,9.0,10.0,2022,MERVILLE,SITIO WELLA,14.50713342,121.0345085,knee,Localized Thunderstorms,TYPE OF VEHICLE PASSABLE TO ANY,,
46,2022-09-10,9.0,10.0,2022,MERVILLE,MANGGAHAN,14.50631058,121.02958,knee,Localized Thunderstorms,TYPE OF VEHICLE PASSABLE TO ANY,,
47,2022-09-10,9.0,10.0,2022,MERVILLE,SITION CATMEL,,,knee,Localized Thunderstorms,TYPE OF VEHICLE PASSABLE TO ANY,,
