unnamed:_0,*year_2022,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,year,flood,precipitation,temperature,humidity,month,day,risk_level,is_monsoon_season,temp_humidity_interaction,humidity_precip_interaction,temp_precip_interaction,monsoon_precip_interaction,saturation_risk,*year_2023,*year_2024
,,,,,,,FLOOD,WEATHER,,2022,1,40.0,26.89907114848876,86.68636605043048,,,,,23.317827279944698,321.91606752898326,99.89163923731962,,1,,
# ,DATE ,MONTH ,BARANGAY ,LOCATION ,LATITUDE ,LONGITUDE ,,,REMARKS ,2022,1,40.0,26.556475165522787,88.04872000579168,,,,,23.38263646189876,326.9752671225767,98.61938436481209,,1,,
,,,,,,,DEPTH ,DISTURBANCES ,,2022,1,40.0,25.915341216525572,89.80258650511978,,,,,23.272646714067335,333.48837676321006,96.2384872408002,,1,,
,,,SAN,EVACOM,,,GUTTER,,PASSABLE TO ANY,2022,1,40.0,30.52779438860023,82.42105811015409,,,,,25.161331152776555,306.0765391060808,113.36716449959833,,0,,
1,14 Mar 2022 ,MARCH ,,,14.47513822,121.0011419,,Localized Thunderstorms ,,2022,1,40.0,28.79026720459018,79.19019640499856,,,,,22.79906914483885,294.07850132643057,106.9147320839192,,0,,
,,,DIONISIO ,INTERSECTION ,,,LEVEL ,,TYPE OF VEHICLE ,2022,1,40.0,31.23598244973627,91.13314393765376,,,,,28.46633284625842,338.429497677814,115.99707190140661,,1,,
,,,,BOUNDARY OF,,,,,,2022,1,40.0,28.897884150012363,84.84891385242781,,,,,24.51954082761838,315.09255637257615,107.31437536634307,,0,,
,,,,CRUZ,,,KNEE,,,2022,1,40.0,28.60224037266941,89.66890714887107,,,,,25.647316362265848,332.9919488399498,106.21648089310733,,1,,
2,14 Mar 2022 ,MARCH ,SAN ISIDRO ,,14.47041838,121.0106894,,Localized Thunderstorms ,,2022,1,40.0,25.226199715899316,86.60981930835555,,,,,21.848365992305297,321.63180568581663,93.67931061406784,,1,,
,,,,COMPOUND,,,LEVEL ,,PASSABLE TO ANY,2022,1,40.0,27.037560730897987,78.56323448594699,,,,,21.24158223629571,291.75023305695333,100.40593028208407,,0,,
